Number,Monograph,Investigator,File,PlaceName,Date,Localisation,latitude,longitude
1,"Charpentier de Paris (Seine - France), de la Corporation des compagnons du Devoir",Frédéric  Le Play et Adolphe Focillon,s1t1_chapt_6.xml,Neuvième arrondissement,1857,"9th Arrondissement (Paris, France)",48.876019,2.339962
2,Manœuvre-Agriculteur de la Champagne pouilleuse (Marne - France),Ernest Delbet,s1t1_chapt_7.xml,"B, canton de Suippes",1857,"Suippes (Marne, France)",49.1308493,4.531783
3,Paysans en communauté du Lavedan (Hautes-Pyrénées - France),Frédéric  Le Play,s1t1_chapt_8.xml,Cauterets,1857,"Cauterets (Hautes-Pyrénées, France)",42.8893451,-0.114546
4,Paysan du Labourd (Basses-Pyrénées - France),Albert de Saint-Léger et Ernest Delbet,s1t1_chapt_9.xml,Ainhoa,1857,"Ainhoa (Pyrénées-Atlantiques, France)",43.3067215,-1.4988117
5,Métayer de la banlieue de Florence (Grand-Duché de Toscane),Ulbadino Péruzzi,s1t1_chapt_10.xml,La Torre,1857,"Florence (Toscane, Italie)",43.7698712,11.2555757
6,Nourrisseur de vaches de la banlieue de Londres (Middlesex - Angleterre),Ernest Avalle,s1t1_chapt_11.xml,Lambeth,1857,"Lambeth (Londres, Angleterre)",51.5013012,-0.117287
7,Tisseur en châles de la fabrique urbaine collective de Paris (Seine - France),E.-Frédéric Hébert et Ernest Delbet,s1t1_chapt_12.xml,Gentilly,1857,"Gentilly (Val-de-Marne, France)",48.8153656,2.3483549
8,Manœuvre-agriculteur du comté de Nottingham (Angleterre),J. Devey et Ernest Avalle,s1t1_chapt_13.xml,vallée de la Trent,1857,"Nottingham (Nottinghamshire, Angleterre)",52.9534193,-1.1496461
9,"Pêcheur côtier, maître de barque de Saint-Sébastien (Guipuscoa - Espagne)",Albert de Saint-Léger et Ernest Delbet,s1t1_chapt_14.xml,San Sebastián,1857,"San Sebastián (Guipuscoa, Espagne)",43.3224219,-1.9838889
10,"Ferblantier, couvreur et vitrier d'Aix-les-Bains (Savoie - États Sardes)",Frédéric  Le Play,s1t2_chapt_3.xml,Aix-les-Bains,1858,"Aix-les-Bains (Savoie, France)",45.6886292,5.9146362
11,Carrier des environs de Paris (Seine - France),Ernest Avalle et Adolphe Focillon,s1t2_chapt_4.xml,C?,1858,"Clamart (Hauts-de-Seine, France)",48.800368,2.2630292
12,Menuisier-charpentier (Nedjar) de Tanger (Province de Tanger - Maroc),Narcisse Cotte,s1t2_chapt_5.xml,Tanger,1858,"Tanger (Tanger-Tétouan-Al Hoceïma, Maroc)",35.777103,-5.803792
13,Tailleur d'habits de Paris (Seine - France),Adolphe Focillon,s1t2_chapt_6.xml,rue de la Barrière-Blanche,1858,"rue de la Barrière-Blanche (Paris, France)",48.8893368,2.3306306
14,Compositeur-typographe de Bruxelles (Brabant - Belgique),J. Dauby,s1t2_chapt_7.xml,Saint-Josse-ten-Noode,1858,"Saint-Josse-ten-Noode (Bruxelles-Capitale, Belgique)",50.8508197,4.3691634
15,Décapeur d'outils en acier de la fabrique d'Hérimoncourt (Doubs - France),Charles Robert,s1t2_chapt_8.xml,Hérimoncourt,1858,"Hérimoncourt (Doubs, France)",47.4419332,6.8819894
16,Monteur d'outils en acier de la fabrique d'Hérimoncourt (Doubs - France),Charles Robert,s1t2_chapt_9.xml,Hérimoncourt,1858,"Hérimoncourt (Doubs, France)",47.4419332,6.8819894
17,Porteur d'eau de Paris (Seine - France),Ernest Avalle,s1t2_chapt_10.xml,Sorbonne,1858,"5th Arrondissement (Paris, France)",48.8459728,2.3443504
18,"Paysans en communauté et en polygamie de Bousrah (Esky Cham), dans le pays de Haouran (Syrie - Empire Ottoman)",Ernest Delbet,s1t2_chapt_11.xml,Bosra,1858,"Busra al-Sham (Daraa, Syrie)",32.5191381,36.4805732
19,Débardeur et piocheur de craie de la banlieue de Paris (Seine - France),T. Chale,s1t2_chapt_12.xml,Port-Marly,1858,"Port-Marly (Yvelines, France)",48.8809876,2.109145
20,Brodeuses des Vosges (Vosges - France),Augustin Cochin,s1t3_chapt_5.xml,"hameau de P***, commune de R**, canton de Plombières",1861,"Plombières-les-Bains (Vosges, France)",47.9641254,6.4564439
21,Paysan et savonnier de la Basse-Provence (Bouches-du-Rhône - France),Adolphe Focillon,s1t3_chapt_6.xml,"commune de P***, 35 kilomètres E.-N.-E. de Marseille, 18 kilomètres E. d'Aix ; chef-lieu de canton le village de T*",1861,"Trets (Bouches-du-Rhône, France)",43.4469081,5.6851425
22,Mineur des Placers du comté de Mariposa (Californie - États-Unis),Louis Simonin,s1t3_chapt_7.xml,Coulterville,1861,"Coulterville (Mariposa, Californie)",37.710486,-120.1979658
23,Manœuvre-vigneron de l'Aunis (Charente-inférieure - France),Léopold Toussaint,s1t3_chapt_8.xml,"village de la G***, commune de L***, arrondissement de La Rochelle",1861,"La Rochelle (Charente-Maritime, France)",46.1591126,-1.1520434
24,Lingère de Lille (Nord - France),Léopold Auvray,s1t3_chapt_9.xml,Lille,1861,"Lille (Nord, France)",50.6365654,3.0635282
25,Parfumeur de Tunis (Régence de Tunis - Afrique) du bazar appelé : El Attharin-el-kebar (les grands parfumeurs),Narcisse Cotte et Soliman El Haraïri,s1t3_chapt_10.xml,Kasbah de Tunis,1861,"Tunis (Tunis, Tunisie)",36.8002068,10.1857757
26,Instituteur primaire d'une commune rurale de la Normandie (Eure - France),Auguste Roguès,s1t3_chapt_11.xml,"N***, canton et arondissement d'Evreux",1861,"Évreux (Eure, France)",49.0268903,1.1510164
27,Manœuvre à famille nombreuse de Paris (Seine - France),Courteille Courteille et J. Gautier,s1t3_chapt_12.xml,faubourg Saint-Martin,1861,"rue du faubourg Saint-Martin (Paris, France)",48.8708608,2.3566155
28,Fondeur de plomb des Alpes Apuanes (Toscane - Italie),F. Blanchard,s1t3_chapt_13.xml,Nespolo,1861,"Nespolo (Latium, Italie)",42.1561585,13.0700825
29,Paysan d'un village à banlieue morcelée du Laonnais (Aisne - France),François Callay,s1t4_chapt_7.xml,"S***, bourg de l'ancien Laonnais",1862,"Laon (Aisne, France)",49.564665,3.620686
